fecha,letra,share_mujer
2010-07-01,P,.73912692
2010-07-01,Q,.73180962
2010-07-01,R,.40441248
2010-07-01,S,.47254559
2010-07-01,U,.55216467
2010-07-01,Z,.24509804
2010-08-01,A,.10220939
2010-08-01,B,.07694684
2010-08-01,C,.18038735
2010-08-01,D,.1658926
2010-08-01,E,.079843327
2010-08-01,F,.049106564
2010-08-01,G,.35097525
2010-08-01,H,.081793919
2010-08-01,I,.43498501
2010-08-01,J,.3339093
2010-08-01,K,.49266684
2010-08-01,L,.34893197
2010-08-01,M,.43671584
2010-08-01,N,.33283868
2010-08-01,O,.48529124
2010-08-01,P,.73853809
2010-08-01,Q,.73200542
2010-08-01,R,.40256619
2010-08-01,S,.47307405
2010-08-01,U,.55167496
2010-08-01,Z,.25252524
2010-09-01,A,.10348802
2010-09-01,B,.077306353
2010-09-01,C,.18005331
2010-09-01,D,.16601524
2010-09-01,E,.081238709
2010-09-01,F,.048662022
2010-09-01,G,.34990358
2010-09-01,H,.081891805
2010-09-01,I,.43541464
2010-09-01,J,.33295029
2010-09-01,K,.49266797
2010-09-01,L,.34951544
2010-09-01,M,.437583
2010-09-01,N,.33311164
2010-09-01,O,.48507679
2010-09-01,P,.73861861
2010-09-01,Q,.73181009
2010-09-01,R,.40161198
2010-09-01,S,.47347295
2010-09-01,U,.5455187
2010-09-01,Z,.245
2010-10-01,A,.11361722
2010-10-01,B,.076640613
2010-10-01,C,.17985997
2010-10-01,D,.16582014
2010-10-01,E,.079310551
2010-10-01,F,.048546549
2010-10-01,G,.3506082
2010-10-01,H,.082763515
2010-10-01,I,.43637052
2010-10-01,J,.332966
2010-10-01,K,.49453235
2010-10-01,L,.34918487
2010-10-01,M,.43795106
2010-10-01,N,.33538574
2010-10-01,O,.48310649
2010-10-01,P,.73849648
2010-10-01,Q,.73201561
2010-10-01,R,.40009341
2010-10-01,S,.47262019
2010-10-01,U,.54455447
2010-10-01,Z,.23786408
2010-11-01,A,.12021701
2010-11-01,B,.076727785
2010-11-01,C,.18000665
2010-11-01,D,.16490099
2010-11-01,E,.078622192
2010-11-01,F,.04797633
2010-11-01,G,.35112822
2010-11-01,H,.083138257
2010-11-01,I,.43707943
2010-11-01,J,.33296242
2010-11-01,K,.49423999
2010-11-01,L,.34922332
2010-11-01,M,.43635413
2010-11-01,N,.33531883
2010-11-01,O,.48585218
2010-11-01,P,.73769832
2010-11-01,Q,.73190504
2010-11-01,R,.39903322
2010-11-01,S,.47250906
2010-11-01,U,.5460943
2010-11-01,Z,.25510204
2010-12-01,A,.11846628
2010-12-01,B,.07737305
