fecha,zona_prov,share_mujer
2009-02-01,SAN LUIS,.25131646
2009-02-01,SANTA CRUZ,.22900161
2009-02-01,SANTA FE,.28324488
2009-02-01,SANTIAGO DEL ESTERO,.24852771
2009-02-01,TIERRA DEL FUEGO,.30104399
2009-02-01,TUCUMAN,.26425013
2009-03-01,BUENOS AIRES,.31321314
2009-03-01,CAPITAL FEDERAL,.37017861
2009-03-01,CATAMARCA,.24384615
2009-03-01,CHACO,.23217538
2009-03-01,CHUBUT,.24993378
2009-03-01,CORDOBA,.31763625
2009-03-01,CORRIENTES,.20368198
2009-03-01,ENTRE RIOS,.26898152
2009-03-01,FORMOSA,.21055117
2009-03-01,JUJUY,.22535989
2009-03-01,LA PAMPA,.28460312
2009-03-01,LA RIOJA,.25132731
2009-03-01,MENDOZA,.2881982
2009-03-01,MISIONES,.20017026
2009-03-01,NEUQUEN,.26931411
2009-03-01,RIO NEGRO,.31240946
2009-03-01,SALTA,.25844091
2009-03-01,SAN JUAN,.24182335
2009-03-01,SAN LUIS,.25495234
2009-03-01,SANTA CRUZ,.23043714
2009-03-01,SANTA FE,.28397784
2009-03-01,SANTIAGO DEL ESTERO,.25287172
2009-03-01,TIERRA DEL FUEGO,.30507043
2009-03-01,TUCUMAN,.25703374
2009-04-01,BUENOS AIRES,.31413519
2009-04-01,CAPITAL FEDERAL,.37082791
2009-04-01,CATAMARCA,.24766824
2009-04-01,CHACO,.23350383
2009-04-01,CHUBUT,.25015354
2009-04-01,CORDOBA,.31906003
2009-04-01,CORRIENTES,.20203774
2009-04-01,ENTRE RIOS,.2676889
2009-04-01,FORMOSA,.21040691
2009-04-01,JUJUY,.22265433
2009-04-01,LA PAMPA,.28310958
2009-04-01,LA RIOJA,.26230958
2009-04-01,MENDOZA,.28428513
2009-04-01,MISIONES,.19787833
2009-04-01,NEUQUEN,.27328226
2009-04-01,RIO NEGRO,.32359263
2009-04-01,SALTA,.25452107
2009-04-01,SAN JUAN,.24167717
2009-04-01,SAN LUIS,.25597829
2009-04-01,SANTA CRUZ,.22882542
2009-04-01,SANTA FE,.28686893
2009-04-01,SANTIAGO DEL ESTERO,.25925842
2009-04-01,TIERRA DEL FUEGO,.30544469
2009-04-01,TUCUMAN,.2495355
2009-05-01,BUENOS AIRES,.31434709
2009-05-01,CAPITAL FEDERAL,.37072963
2009-05-01,CATAMARCA,.25209785
2009-05-01,CHACO,.23434302
2009-05-01,CHUBUT,.25230703
2009-05-01,CORDOBA,.32048008
2009-05-01,CORRIENTES,.20248957
2009-05-01,ENTRE RIOS,.26738256
